Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 120.0.0.0,,,24-01-2024 02:43:50,24-01-2024 02:44:12,"22,253s",FAILED
,,,,,,,
Test Cases/Login/Login - Sucess,Chrome 120.0.0.0,,,24-01-2024 02:44:00,24-01-2024 02:44:03,"2,842s",FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 02:44:00,24-01-2024 02:44:01,"1,548s",PASSED
"navigateToUrl(""https://qa-interview-test-1.vercel.app/"")",Chrome 120.0.0.0,,,24-01-2024 02:44:01,24-01-2024 02:44:02,"0,722s",PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab""), ""safarina01"")",Chrome 120.0.0.0,,,24-01-2024 02:44:02,24-01-2024 02:44:03,"0,541s",FAILED
,,,,,,,
Test Cases/Login/Login - Unregistered username,Chrome 120.0.0.0,,,24-01-2024 02:44:10,24-01-2024 02:44:12,"2,111s",FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 02:44:10,24-01-2024 02:44:11,"1,295s",PASSED
"navigateToUrl(""https://qa-interview-test-1.vercel.app/"")",Chrome 120.0.0.0,,,24-01-2024 02:44:11,24-01-2024 02:44:11,"0,322s",PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab""), ""safarina02"")",Chrome 120.0.0.0,,,24-01-2024 02:44:11,24-01-2024 02:44:12,"0,467s",FAILED
